                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31501,                0.18367,                      1,                0.53474,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                0.27217,                 0.2449,                      1,                0.52682,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      3,                0.23221,                0.36735,                      1,                0.51279,             6.2989e-05,             6.2989e-05,             6.2989e-05
                      4,                0.19155,                 0.4898,                      1,                0.49213,             7.5291e-05,             7.5291e-05,             7.5291e-05
                      5,                0.16032,                0.61224,                      1,                0.48327,             8.1939e-05,             8.1939e-05,             8.1939e-05
                      6,                0.14857,                0.59184,                      1,                0.47389,             8.2931e-05,             8.2931e-05,             8.2931e-05
                      7,                0.13795,                0.65306,                      1,                0.46607,             7.8269e-05,             7.8269e-05,             7.8269e-05
                      8,                0.12004,                0.71429,                      1,                  0.451,             6.7951e-05,             6.7951e-05,             6.7951e-05
                      9,                0.10053,                0.85714,                      1,                0.44267,             5.1979e-05,             5.1979e-05,             5.1979e-05
                     10,                0.09307,                0.85714,                      1,                0.42796,             3.0352e-05,             3.0352e-05,             3.0352e-05
