                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8363,                 5.3589,                 4.1896,                0.00048,                0.11905,                0.00039,                  6e-05,                 3.9486,                 5.8986,                  4.159,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 2.6477,                 5.7581,                 3.1353,                0.00062,                0.14286,                0.00055,                  8e-05,                 3.9492,                 5.9037,                 4.1588,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 3.6386,                 5.2218,                 4.1638,                0.00061,                0.14286,                0.00074,                  9e-05,                 3.9497,                 5.9123,                  4.158,             0.00015408,             0.00015408,             0.00015408
                      4,                  3.367,                 5.0316,                  4.159,                0.00066,                0.17316,                0.00078,                0.00011,                 3.9504,                 5.9239,                 4.1563,             0.00020798,             0.00020798,             0.00020798
                      5,                 3.1181,                 4.9314,                 4.1123,                0.00073,                0.20346,                0.00107,                0.00016,                 3.9515,                  5.934,                 4.1548,             0.00026076,             0.00026076,             0.00026076
                      6,                 3.3329,                  5.126,                 4.1026,                0.00078,                0.22727,                0.00107,                0.00014,                 3.9535,                 5.9486,                 4.1524,              0.0003124,              0.0003124,              0.0003124
                      7,                 3.7547,                 4.8825,                 4.1052,                0.00068,                0.20346,                0.00093,                0.00015,                 3.9553,                 5.9647,                 4.1492,             0.00036291,             0.00036291,             0.00036291
                      8,                 3.2045,                 4.7112,                 4.0822,                0.00046,                 0.2619,                0.00161,                0.00036,                  3.957,                 5.9789,                 4.1452,             0.00041229,             0.00041229,             0.00041229
                      9,                 3.2475,                 5.2046,                 4.1744,                0.00052,                0.28571,                0.00775,                0.00141,                 3.9576,                 5.9903,                 4.1401,             0.00046054,             0.00046054,             0.00046054
                     10,                  2.932,                 4.9669,                 3.9554,                0.00053,                0.28571,                0.02994,                0.00854,                 3.9565,                 5.9799,                 4.1334,             0.00050765,             0.00050765,             0.00050765
                     11,                 3.4929,                 4.6339,                 4.0362,                0.00054,                0.28571,                 0.0009,                0.00022,                 3.9547,                 5.9516,                 4.1257,             0.00055364,             0.00055364,             0.00055364
                     12,                 3.0977,                 4.4935,                 3.9662,                0.00054,                0.28571,                0.00105,                0.00025,                 3.9529,                 5.9323,                 4.1169,             0.00059849,             0.00059849,             0.00059849
                     13,                 2.4591,                 5.7385,                 3.0017,                0.00053,                0.28571,                0.00131,                0.00029,                 3.9544,                 5.9706,                 4.1059,             0.00064221,             0.00064221,             0.00064221
                     14,                 3.2807,                 4.4747,                 3.9162,                0.00052,                0.28571,                0.00174,                0.00038,                 3.9548,                 5.9852,                 4.1028,              0.0006848,              0.0006848,              0.0006848
