                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8363,                 5.3589,                 4.1896,                0.00048,                0.11905,                0.00039,                  6e-05,                 3.9486,                 5.8986,                  4.159,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 2.6477,                  5.758,                 3.1354,                0.00065,                0.17316,                0.00079,                0.00012,                 3.9492,                 5.9037,                 4.1588,             9.9535e-05,             9.9535e-05,             9.9535e-05
                      3,                  3.639,                 5.2213,                 4.1633,                0.00052,                0.11905,                0.00057,                  9e-05,                 3.9497,                 5.9124,                  4.158,             0.00015563,             0.00015563,             0.00015563
                      4,                 3.3623,                 5.0344,                 4.1531,                0.00081,                0.22727,                0.00096,                0.00014,                 3.9504,                 5.9238,                 4.1563,             0.00021117,             0.00021117,             0.00021117
                      5,                 3.1134,                 4.9286,                 4.1105,                0.00081,                0.22727,                0.00087,                0.00012,                 3.9514,                 5.9338,                 4.1547,             0.00026613,             0.00026613,             0.00026613
                      6,                 3.3508,                 5.1249,                 4.1139,                 0.0008,                0.22727,                0.00094,                0.00014,                 3.9536,                 5.9481,                 4.1523,             0.00032054,             0.00032054,             0.00032054
                      7,                 3.7639,                 4.8828,                 4.1054,                0.00063,                0.17316,                0.00063,                0.00011,                 3.9556,                 5.9636,                 4.1491,             0.00037437,             0.00037437,             0.00037437
                      8,                 3.1712,                 4.7057,                 4.0836,                0.00051,                0.28571,                0.00119,                0.00027,                 3.9577,                 5.9775,                 4.1451,             0.00042764,             0.00042764,             0.00042764
                      9,                  3.218,                 5.3428,                 4.2205,                0.00048,                 0.2619,                 0.0128,                0.00216,                 3.9589,                  5.989,                   4.14,             0.00048034,             0.00048034,             0.00048034
                     10,                 2.9173,                 4.9486,                 3.9542,                0.00053,                0.28571,                0.00628,                0.00148,                 3.9584,                 5.9777,                 4.1337,             0.00053248,             0.00053248,             0.00053248
                     11,                 3.5073,                 4.6229,                 4.0358,                0.00054,                0.28571,                  0.001,                0.00025,                 3.9573,                 5.9499,                 4.1261,             0.00058405,             0.00058405,             0.00058405
                     12,                  3.065,                 4.5242,                  3.981,                0.00054,                0.28571,                0.00123,                0.00028,                 3.9559,                 5.9345,                  4.118,             0.00063506,             0.00063506,             0.00063506
                     13,                 2.4494,                 5.7627,                 2.9858,                0.00053,                0.28571,                0.00135,                 0.0003,                 3.9571,                 5.9773,                 4.1093,              0.0006855,              0.0006855,              0.0006855
                     14,                 3.2561,                 4.4387,                 3.9014,                0.00052,                0.28571,                0.00315,                0.00057,                 3.9566,                  5.986,                 4.1047,             0.00073537,             0.00073537,             0.00073537
