                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7529,                 5.7484,                 5.3136,                 3.3508,                0.00064,                   0.04,                0.00064,                0.00022,                0.00032,                   0.02,                 0.0002,                  4e-05,                 3.2812,                 5.4273,                 6.4821,                 3.2297,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                  3.541,                    5.2,                 5.0235,                 3.0869,                0.00119,                   0.06,                0.00118,                0.00036,                 0.0004,                   0.02,                0.00035,                  3e-05,                 3.0429,                 4.9681,                 6.4981,                 3.0578,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 3.2111,                 5.0887,                 4.9501,                 2.8341,                0.00125,                   0.06,                0.00167,                0.00077,                0.00042,                   0.02,                0.00121,                0.00048,                  2.964,                 4.8262,                 6.4159,                 2.9309,             0.00011206,             0.00011206,             0.00011206
                      4,                 2.7005,                 4.6845,                 4.5901,                 2.3933,                0.00215,                   0.12,                0.01385,                0.00353,                0.00036,                   0.02,                0.00154,                0.00031,                 2.7599,                 4.7697,                 6.2065,                  2.772,             0.00015252,             0.00015252,             0.00015252
                      5,                 2.5197,                 4.4492,                 4.3608,                 2.1902,                 0.0062,                    0.3,                0.04864,                0.01852,                0.00124,                   0.06,                0.00184,                0.00025,                 2.8275,                 4.7851,                 5.9386,                 2.5688,             0.00019214,             0.00019214,             0.00019214
                      6,                 2.5537,                 4.5294,                 4.3037,                   2.15,                0.00687,                   0.44,                0.09552,                0.03172,                0.00031,                   0.02,                0.00087,                  9e-05,                 2.6181,                  4.669,                 5.8153,                 2.2938,              0.0002309,              0.0002309,              0.0002309
                      7,                   2.25,                 3.7324,                 4.1272,                 1.8491,                0.00715,                   0.48,                0.12334,                 0.0364,                0.00208,                   0.14,                0.00346,                0.00094,                 2.4468,                 4.5889,                 5.5905,                 2.1417,             0.00026882,             0.00026882,             0.00026882
                      8,                 2.3206,                 4.4166,                 3.7281,                 1.9051,                 0.0068,                   0.42,                0.09887,                0.03327,                0.00129,                   0.08,                0.00293,                0.00085,                 2.3379,                  4.616,                 5.5361,                 2.0743,             0.00030589,             0.00030589,             0.00030589
                      9,                 2.2769,                 4.3288,                 3.4871,                 1.9091,                0.00807,                   0.38,                0.10358,                0.03248,                 0.0017,                   0.08,                0.00384,                0.00049,                 2.3409,                 4.7081,                    5.4,                 2.1089,             0.00034211,             0.00034211,             0.00034211
                     10,                 2.1265,                  4.178,                 3.2661,                 1.8418,                0.00675,                   0.28,                0.08498,                0.02625,                0.00193,                   0.08,                0.01045,                0.00104,                 2.4342,                 4.5683,                 5.4699,                 2.1817,             0.00037749,             0.00037749,             0.00037749
                     11,                 2.2032,                 4.1142,                 3.5324,                 1.8838,                0.00689,                   0.22,                0.06013,                0.01417,                0.00125,                   0.04,                0.00095,                0.00023,                 2.5745,                 4.2328,                 5.2816,                 2.2912,             0.00041201,             0.00041201,             0.00041201
                     12,                 2.0388,                 3.9644,                 3.3723,                  1.826,                0.00711,                   0.22,                0.06672,                0.01419,                0.00259,                   0.08,                0.00772,                  0.001,                 2.5517,                 4.2993,                 5.2393,                 2.2414,             0.00044568,             0.00044568,             0.00044568
                     13,                  2.073,                 4.0158,                 3.3822,                 1.8619,                 0.0101,                   0.34,                0.08248,                0.02318,                0.00297,                    0.1,                0.01641,                0.00296,                 2.2848,                 4.3947,                 5.4893,                 2.0449,             0.00047851,             0.00047851,             0.00047851
                     14,                 2.0864,                 3.9388,                 3.2057,                 1.8352,                0.01164,                   0.38,                0.05136,                 0.0144,                0.00368,                   0.12,                0.02006,                0.00661,                  2.247,                 4.3409,                 5.4457,                   2.02,             0.00051049,             0.00051049,             0.00051049
                     15,                 2.1154,                 3.6397,                 3.6925,                 1.8575,                0.00715,                   0.34,                 0.0265,                0.00753,                0.00252,                   0.12,                0.02201,                 0.0114,                 2.2526,                 4.3003,                  5.478,                 2.0654,             0.00054161,             0.00054161,             0.00054161
                     16,                 1.9548,                 4.0088,                 3.1618,                 1.7482,                0.00672,                    0.4,                0.02172,                 0.0058,                0.00369,                   0.22,                0.01275,                0.00648,                    2.3,                  4.439,                 5.4136,                 2.0883,             0.00057189,             0.00057189,             0.00057189
                     17,                 2.0977,                 4.1823,                 2.8823,                 1.7855,                0.00592,                   0.38,                0.00734,                0.00259,                0.00312,                    0.2,                0.00278,                0.00072,                 2.3705,                 5.3588,                 5.3731,                 1.9828,             0.00060132,             0.00060132,             0.00060132
                     18,                 2.1198,                 4.1712,                 2.9193,                 1.7637,                0.00678,                    0.4,                0.03154,                0.01836,                0.00339,                    0.2,                0.00653,                  0.001,                 2.3119,                 5.5465,                  5.186,                 1.9195,              0.0006299,              0.0006299,              0.0006299
                     19,                 1.9816,                 3.9594,                 2.8342,                 1.7053,                0.52885,                0.04577,                 0.0993,                0.04344,                0.07803,                0.04925,                0.01295,                0.00178,                 2.1755,                 4.8483,                 5.0523,                  1.844,             0.00065764,             0.00065764,             0.00065764
                     20,                 1.9269,                 3.9801,                 2.7138,                 1.6495,                0.43399,                   0.16,                 0.1573,                0.05265,                 0.0539,                   0.02,                0.01515,                0.00351,                 2.0786,                 4.2537,                 4.6878,                 1.7946,             0.00068452,             0.00068452,             0.00068452
                     21,                 2.0733,                 3.8194,                 2.5379,                 1.6794,                0.46131,                   0.18,                0.17485,                0.05123,                0.00451,                   0.26,                0.00568,                0.00142,                 2.1097,                 4.3291,                 4.7016,                 1.8293,             0.00071056,             0.00071056,             0.00071056
                     22,                 2.0305,                 3.9521,                 2.5748,                 1.6842,                 0.4545,                 0.0509,                 0.1354,                0.03887,                0.00304,                   0.18,                0.00455,                0.00088,                 2.2191,                 4.9056,                 4.7812,                 1.8886,             0.00073574,             0.00073574,             0.00073574
                     23,                 2.0099,                 4.0587,                 2.5818,                 1.7833,                0.35119,                0.04375,                0.06729,                0.02232,                0.00928,                   0.04,                0.00382,                0.00082,                 2.3056,                 5.4718,                 4.9322,                 1.9737,             0.00076008,             0.00076008,             0.00076008
                     24,                 2.0519,                 3.4224,                 2.7878,                 1.6724,                0.13309,                   0.06,                0.03736,                0.01093,                0.00248,                   0.14,                0.00162,                 0.0003,                 2.3059,                 5.8605,                 4.8967,                 2.0848,             0.00078357,             0.00078357,             0.00078357
                     25,                 2.0464,                 3.5839,                 2.6849,                 1.7277,                 0.4636,                   0.06,                0.05482,                0.01309,                0.00275,                   0.14,                0.00174,                0.00034,                 2.3497,                 6.9204,                 4.7803,                 2.1603,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.9249,                 3.4343,                 2.7447,                 1.7072,                0.26243,                   0.12,                0.09195,                0.03333,                0.00426,                   0.22,                0.00325,                0.00068,                 2.2353,                 6.8621,                 4.6215,                 2.0355,               0.000828,               0.000828,               0.000828
                     27,                 1.9523,                  3.586,                 2.4481,                  1.636,                0.09981,                   0.14,                0.04819,                0.01744,                0.02225,                   0.02,                 0.0031,                 0.0007,                 2.2012,                 6.6098,                 4.5736,                 1.9939,             0.00084894,             0.00084894,             0.00084894
                     28,                 1.8271,                 3.6207,                 2.1875,                 1.5536,                0.05483,                   0.06,                0.03352,                0.01357,                0.00286,                   0.18,                0.00242,                0.00053,                 2.1267,                 6.0302,                 4.9877,                 1.9351,             0.00086903,             0.00086903,             0.00086903
                     29,                 1.7513,                   2.77,                  2.189,                 1.5024,                0.05483,                   0.06,                0.03352,                0.01357,                0.00286,                   0.18,                0.00242,                0.00053,                 2.1267,                 6.0302,                 4.9877,                 1.9351,             0.00088828,             0.00088828,             0.00088828
                     30,                 1.9128,                 3.6756,                 2.5082,                 1.6501,                0.05099,                   0.06,                0.04239,                0.01137,                0.00137,                    0.1,                0.00156,                0.00043,                  2.288,                 5.5269,                 5.2487,                 1.9349,             0.00090667,             0.00090667,             0.00090667
                     31,                 1.7788,                 3.5358,                 2.4974,                 1.5182,                0.05084,                   0.06,                0.04609,                0.01441,                0.01396,                   0.02,                0.00616,                0.00183,                  2.229,                 4.7548,                 5.3213,                 1.8741,             0.00092422,             0.00092422,             0.00092422
                     32,                 1.8198,                 3.2174,                 2.4104,                 1.5874,                 0.1403,                   0.08,                0.10313,                0.03349,                0.03492,                   0.02,                0.02303,                0.00904,                 2.0598,                 4.3966,                 4.4295,                 1.7374,             0.00094092,             0.00094092,             0.00094092
                     33,                 1.8275,                 3.5391,                 2.3422,                 1.6007,                 0.1403,                   0.08,                0.10313,                0.03349,                0.03492,                   0.02,                0.02303,                0.00904,                 2.0598,                 4.3966,                 4.4295,                 1.7374,             0.00095677,             0.00095677,             0.00095677
                     34,                 1.9514,                 3.4664,                 2.5995,                 1.6911,                0.31899,                   0.16,                0.19156,                0.07359,                0.07797,                   0.04,                0.03755,                0.01345,                 2.0484,                 4.7433,                 3.9143,                 1.6774,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.0109,                 3.8244,                 2.6298,                 1.6415,                 0.3096,                    0.2,                0.21879,                0.06525,                0.15326,                    0.1,                0.03754,                0.01567,                 2.1227,                 4.7469,                 4.0326,                 1.7576,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.0363,                  3.678,                 2.6401,                 1.7223,                0.36652,                   0.26,                0.22881,                0.06984,                0.09121,                   0.08,                0.02269,                0.00816,                 2.1528,                 4.4963,                 3.9302,                 1.7195,               0.000948,               0.000948,               0.000948
                     37,                 1.9358,                 3.4767,                 2.5713,                 1.6344,                0.36652,                   0.26,                0.22881,                0.06984,                0.09121,                   0.08,                0.02269,                0.00816,                 2.1528,                 4.4963,                 3.9302,                 1.7195,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.9557,                 3.2095,                 2.5544,                 1.6494,                0.35293,                   0.36,                0.26758,                 0.1145,                0.09893,                   0.14,                0.02699,                0.00692,                 2.0573,                 4.6173,                 3.7327,                 1.6575,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.9655,                 3.6822,                 2.5188,                 1.6884,                0.51782,                   0.24,                0.27315,                0.10424,                0.09857,                   0.16,                0.04647,                0.01132,                 2.0827,                  4.816,                  3.766,                  1.746,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.928,                 3.5772,                 2.5351,                 1.7065,                0.32564,                   0.28,                0.18593,                0.06565,                 0.1312,                0.10275,                0.06571,                0.01142,                 2.1002,                 4.8805,                 3.8312,                   1.83,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.9598,                 3.4554,                 2.7008,                 1.6794,                0.32564,                   0.28,                0.18593,                0.06565,                 0.1312,                0.10275,                0.06571,                0.01142,                 2.1002,                 4.8805,                 3.8312,                   1.83,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.7849,                 3.3952,                 2.3924,                 1.4962,                0.24395,                   0.18,                0.11998,                 0.0453,                0.29035,                    0.1,                0.06673,                0.01603,                 2.1503,                 4.5633,                 3.9463,                 1.9265,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.9246,                 3.5658,                 2.4824,                 1.7233,                0.27393,                   0.32,                0.17502,                 0.0632,                0.21643,                    0.1,                0.05274,                0.01783,                 2.0192,                 4.1519,                 3.9272,                  1.783,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.8176,                 3.5377,                 2.1657,                 1.6066,                0.25742,                   0.32,                0.16627,                0.07305,                0.23099,                   0.08,                0.04848,                0.01451,                 2.0451,                 4.1041,                 3.9049,                  1.729,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.9126,                  3.491,                 2.5647,                 1.6969,                0.25742,                   0.32,                0.16627,                0.07305,                0.23099,                   0.08,                0.04848,                0.01451,                 2.0451,                 4.1041,                 3.9049,                  1.729,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.9239,                 3.2759,                 2.6952,                 1.7237,                0.44316,                0.27075,                0.29581,                0.14237,                0.17682,                   0.12,                 0.0579,                0.01707,                 1.9913,                 4.2552,                 3.8887,                 1.6636,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.8431,                 3.5116,                 2.3276,                 1.6348,                0.46565,                   0.36,                0.32521,                0.14657,                0.19826,                   0.12,                0.04363,                0.01178,                 1.9419,                 3.8234,                 3.5932,                 1.6363,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.9163,                 3.0053,                 2.6543,                 1.6736,                0.37731,                0.41213,                0.35211,                0.17321,                0.17084,                    0.3,                0.08813,                0.02497,                  1.717,                 3.3037,                 3.2541,                 1.5228,             0.00077823,             0.00077823,             0.00077823
