                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7529,                 5.7484,                 5.3136,                 3.3508,                0.00061,                   0.04,                0.00061,                 0.0002,                0.00031,                   0.02,                0.00019,                  4e-05,                 3.2812,                 5.4273,                 6.4821,                 3.2297,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 3.5409,                 5.1995,                 5.0243,                 3.0864,                  0.001,                   0.06,                0.00098,                 0.0003,                0.00033,                   0.02,                 0.0003,                  3e-05,                 3.0427,                 4.9672,                 6.4962,                 3.0573,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      3,                 3.2143,                 5.0875,                 4.9267,                 2.8292,                0.00074,                   0.04,                0.00145,                0.00073,                0.00037,                   0.02,                0.00125,                 0.0005,                 2.9661,                 4.8387,                 6.3718,                 2.9347,             0.00011319,             0.00011319,             0.00011319
                      4,                 2.7062,                 4.6832,                 4.5763,                 2.3978,                 0.0022,                   0.12,                0.01496,                0.00271,                0.00037,                   0.02,                0.00168,                0.00067,                 2.6787,                 4.7816,                 6.2973,                 2.7687,             0.00015486,             0.00015486,             0.00015486
                      5,                 2.5269,                 4.4534,                 4.3699,                  2.185,                0.00487,                   0.34,                0.06328,                0.01512,                0.00086,                   0.06,                 0.0012,                0.00018,                 2.8142,                 4.6681,                 6.2152,                 2.5066,              0.0001961,              0.0001961,              0.0001961
                      6,                 2.6334,                 4.4996,                 4.3521,                 2.1474,                0.00763,                   0.48,                0.11487,                0.04076,                0.00159,                    0.1,                0.00136,                0.00018,                 2.5176,                 4.6553,                 5.8328,                 2.1877,             0.00023692,             0.00023692,             0.00023692
                      7,                 2.3508,                 3.7174,                 4.1225,                 1.8775,                0.00564,                   0.48,                0.08061,                0.02368,                0.00117,                    0.1,                 0.0026,                0.00081,                 2.5244,                 4.8055,                 5.6175,                 2.1375,             0.00027731,             0.00027731,             0.00027731
                      8,                 2.4308,                 4.4393,                 3.7921,                 1.9543,                0.00549,                   0.42,                0.09346,                 0.0342,                0.00131,                    0.1,                0.00288,                0.00128,                 2.4602,                 4.8189,                 5.3143,                 2.0654,             0.00031728,             0.00031728,             0.00031728
                      9,                 2.3019,                   4.37,                 3.4967,                 1.8646,                0.00835,                   0.42,                0.13991,                0.03717,                0.00318,                   0.16,                 0.0073,                0.00169,                 2.4169,                 4.9555,                 5.1275,                 2.0555,             0.00035683,             0.00035683,             0.00035683
                     10,                 2.2202,                 4.1055,                 3.2193,                 1.8439,                 0.0105,                   0.44,                0.14914,                0.04882,                0.00382,                   0.16,                0.01978,                0.00432,                 2.3382,                 4.6988,                 5.0724,                  2.001,             0.00039595,             0.00039595,             0.00039595
                     11,                 2.1794,                 4.1527,                  3.483,                 1.8192,                0.01729,                    0.5,                0.14849,                0.06732,                0.00415,                   0.12,                0.02693,                0.01123,                 2.3119,                 4.1627,                 5.0791,                 2.0083,             0.00043464,             0.00043464,             0.00043464
